,행정동,경로당수,사회복지시설수,노인교실수,노인인구비율,새벽생활인구,아침생활인구,낮생활인구,저녁생활인구,밤생활인구
151,암사동,22.0,0.0,2.0,0.15266666666666667,679.8630342333335,642.1694713666667,580.2799687333332,627.1625364333333,655.5644715333334
152,압구정동,7.0,0.0,0.0,0.1877,921.8507724,1059.073419,1220.541382,1081.8913300000002,961.0941911
153,양재동,4.0,1.0,1.0,0.14125,1038.67131725,1156.1809274500001,1344.060864,1199.67487,1090.62717835
154,양평동,30.0,0.0,3.0,0.121,502.58130425,550.03192575,638.13085005,567.9635145499999,511.79480949999993
155,여의도동,5.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
156,역삼동,24.0,2.0,2.0,0.09809999999999999,956.8476147000001,1200.6328816999999,1735.2281659999999,1302.4380282500001,1028.9577526
157,역촌동,2.0,1.0,4.0,0.1778,1440.45847,1324.13945,1172.056372,1318.109198,1413.306819
158,연건동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,연남동,5.0,0.0,0.0,0.15,487.42313770000004,455.5476142,375.7177501,401.0478749,448.75374689999995
160,연희동,10.0,1.0,2.0,0.1599,1032.889995,1020.5809289999999,969.5275267999999,951.5823511,987.7377886
161,염곡동,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,염리동,10.0,0.0,5.0,0.1328,266.5739716,275.78929619999997,295.4101037,273.8198794,257.9243701
163,염창동,34.0,0.0,1.0,0.1006,794.8552377000001,808.6828922999999,759.941789,823.795656,845.3016372000002
164,영등포동,19.0,1.0,4.0,0.1462,890.1941697000001,1080.870653,1518.517617,1271.564745,991.8073578999999
165,영천동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,오금동,16.0,0.0,1.0,0.157,1379.984901,1350.3340660000001,1219.816239,1314.355593,1360.990226
167,오류동,22.0,0.0,2.0,0.17225000000000001,1051.9309588,1027.83935785,963.11289945,1063.48576205,1095.99367655
168,옥수동,13.0,0.0,1.0,0.1522,882.3729231000001,968.0790332999999,946.8998127999998,974.0275207999998,930.9237046000001
169,옥인동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,온수동,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,와룡동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,외발산동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,용강동,2.0,1.0,1.0,0.133,675.2664283,690.9148076,693.2380622000001,683.846573,673.0391091
174,용답동,4.0,0.0,2.0,0.1693,485.2533398,557.2563712,643.6306109,623.7370192000001,555.6049787000001
175,용두동,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,용문동,4.0,0.0,0.0,0.1738,339.84799110000006,311.71423639999995,262.6930346,281.72515269999997,310.56259680000005
177,용산동,5.0,0.0,3.0,0.1834,354.43807230000004,339.10959080000003,316.31075730000003,339.5972702,353.3084389
178,우면동,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,우이동,2.0,0.0,0.0,0.22699999999999998,782.7296607000001,763.7731802000001,739.5757335,702.9868862000001,743.5867062000001
180,운니동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,원서동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,원지동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,월계동,35.0,1.0,2.0,0.19656666666666667,940.2975559666666,883.7438963999999,762.9913235666667,827.5047185333333,895.9905302666666
184,율현동,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,응봉동,9.0,0.0,0.0,0.1624,429.88993600000003,404.6627601,313.3746784,343.8942904,394.9146963
186,응암동,11.0,1.0,4.0,0.17073333333333332,736.1109834,685.4534477333333,627.6805783000001,686.2257539999999,725.3253745333333
187,이문동,18.0,0.0,2.0,0.1696,596.0340271499999,568.56505705,491.548287,524.6238922,571.6561647000001
