자치구,분류,시설명,주소,위도,경도,전화번호,비고,홈페이지,강습여부,실내/실외,주차장
구로구,생활체육관,개웅산생활체육관,구로구 개봉로3길 108-20,37.485685,126.8505602,3666-0287,,https://www.gurosisul.or.kr/,유,실내,회원 2시간 무료
구로구,생활체육관,구로구민체육센터,구로구 고척로45길 39,37.5059009,126.8531819,2681-9595,,https://www.gurosisul.or.kr/,유,실내,회원 2시간 무료
구로구,생활체육관,구로5동 구로구민생활체육관,구로구 새말로 18길 31,37.5051911,126.8927669,858-5150,,-,유,실내,주차 가능
구로구,생활체육관,구로청소년수련관 체육관,구로구 구로동로 141 ,37.4912729,126.8833142,838-1318 ,,http://www.guro1318.org/,유,실내,주차 가능
구로구,수영장,구로구민체육센터 수영장,구로구 고척로45길 39,37.5059009,126.8531819,2681-9595,,https://www.gurosisul.or.kr/,유,실내,회원 2시간 무료
구로구,수영장,궁동종합사회복지관 수영장,구로구 궁동 오리로22길 5,37.499142,126.829696,2613-9367,,http://www.happykd.or.kr,유,실내,-
구로구,수영장,구로청소년수련관 수영장,구로구 구로동로 141 ,37.4912729,126.8833142,838-1318 ,,http://www.guro1318.org/,유,실내,주차 가능
구로구,수영장,신도림생활체육관 수영장,구로구 경인로 67길 149,37.5122164,126.8864678,1899-9912,,https://www.gurosisul.or.kr/,유,실내,회원 3시간 무료 초과시 30분당 1000원
구로구,수영장,고척스카이돔 수영장,구로구 고척동 66-47,37.4958302,126.8674899,2066-5400,25m × 6레인,http://www.gocheok-sc.or.kr/,유,실내,고척돔 주차장 1시간 1800원(492면)
구로구,야구장,고척스카이돔 야구장,구로구 고척동 63-6,37.4987976,126.8672325,2128-2335,62443㎡,http://www.sisul.or.kr/open_content/skydome/,무,실내,고척돔 주차장 1시간 1800원(492면)
구로구,배드민턴장,오류고가하부 배드민턴장,구로구 오류2동 94-16,37.492371,126.8320344,2060-7259,10면,-,유,실내,주차 가능
